Accession,Accession_all,Peptide count,Peptides used for quantitation,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,WT Cntl 1,WT Cntl 2,WT Cntl 3,WT Cntl 4,WT cold 1,WT cold 2,WT cold 3,WT cold 4,fum2 Cntl 1,fum2 Cntl 2,fum2 Cntl 3,fum2 Cntl 4,fum2 Cold 1,fum2 Cold 2,fum2 Cold 3,fum2 Cold 4,AVG WT Cont.,SE WT cont,AVG WT Cold,SE WT cold,AVG fum2 Cntl,SE fum2 cont,AVG fum2 Cold,SE fum2 cold,Pval WT ,F.C. WT,Pval fum2,F.C. fum2,Pval WT*fum2 Cold,F.C. WT Cold*fum2 Cold,Pval WT*fum2 Cntl,FC WT/fum2 Cntl,Pval fum2 Cold/ WT Cont. ,FC fum2 Cold/ WT Cont. ,Sig. change in WT or fum2?
AT2G28100,AT2G28100.1,11,3,139.26,0.064711849,1.70882163,fum2 control,fum2 cold,alpha-L-fucosidase 1 | chr2:11974803-11976489 FORWARD LENGTH=506,13312.45771,18955.14839,23677.21061,19282.21022,21121.29405,26996.8448,29628.02977,15309.55971,20867.62559,10302.03185,11004.94492,16334.87027,9934.445948,15175.48913,14722.64968,10772.74116,18806.75673,2124.396363,23263.93208,3192.430035,14627.36816,2478.017698,12651.33148,1340.78023,0.28923695,1.236998618,0.509361061,0.864908256,0.022084154,1.838852466,0.247655459,1.285723893,0.049771137,0.672701394,FALSE
AT1G51590,AT1G51590.1,12,5,78.08,0.02480058,1.399336437,fum2 control,WT control,alpha-mannosidase 1 | chr1:19128315-19132132 REVERSE LENGTH=560,44547.52138,55985.819,91141.6845,54219.89622,111636.9847,134288.9976,109258.3872,112055.8431,39307.2231,44638.43437,58612.89744,45958.07004,57846.28327,53868.57991,62892.31238,55323.1216,61473.73028,10203.83643,116810.0532,5858.784781,47129.15624,4088.949421,57482.57429,1981.618481,0.003315881,1.900162112,0.062923076,1.219681804,7.33948E-05,2.032095024,0.239727399,1.3043673,0.714239939,0.935075422,TRUE
AT1G68560,AT1G68560.1,31,20,933.94,0.344482499,1.215951158,fum2 cold,WT control,alpha-xylosidase 1 | chr1:25734435-25737897 REVERSE LENGTH=915,275743.1213,211696.2236,202680.2864,270400.719,319466.692,395224.7436,428964.2654,382371.0849,111152.9057,151282.3213,134609.0811,139708.0077,256080.2914,223263.0092,213632.8009,256756.8985,240130.0876,19138.9035,381506.6965,22894.89568,134188.0789,8433.461057,237433.25,11136.923,0.00319903,1.588750083,0.000314954,1.769406432,0.001308363,1.606795579,0.00229827,1.789503878,0.907042038,0.988769264,TRUE
AT4G22260,AT4G22260.1,6,3,54.83,0.015045414,2.418172022,fum2 cold,WT control,Alternative oxidase family protein | chr4:11769967-11772350 REVERSE LENGTH=351,7227.387513,3151.980197,3704.390368,5336.150052,18111.28312,13024.07195,23234.43556,14648.68688,7546.614269,1226.469513,2838.290806,1356.516602,11106.11418,7891.147114,10208.85522,9451.632731,4854.977032,916.6927357,17254.61938,2257.957965,3241.972798,1480.711988,9664.437311,680.9715468,0.002247343,3.554006386,0.007618864,2.981035905,0.01817495,1.785372373,0.390069721,1.497537868,0.005613047,1.990624723,TRUE
AT5G43830,AT5G43830.1,7,3,147.07,0.84860066,1.275647379,fum2 control,WT cold,Aluminium induced protein with YGL and LRDR motifs | chr5:17622593-17624239 REVERSE LENGTH=251,5947.083298,17142.53903,14040.07804,9677.740866,13177.81094,17425.80477,19840.96918,15917.79369,6258.834922,11570.33271,4632.50868,8218.574708,13170.56556,11357.51439,7394.918837,10777.89447,11701.86031,2454.294961,16590.59464,1395.297589,7670.062756,1492.516607,10675.22331,1206.344093,0.134051987,1.417774115,0.168403094,1.391803907,0.018435203,1.554121554,0.210021255,1.52565379,0.720272624,0.912267198,FALSE
AT5G19140,AT5G19140.1,4,3,277.14,0.000419051,2.598740628,fum2 control,WT cold,Aluminium induced protein with YGL and LRDR motifs | chr5:6423398-6425785 FORWARD LENGTH=234,82857.0521,72693.30211,45426.64377,61693.03097,37710.46102,48244.05963,49562.62475,41425.34329,37816.68301,53941.3435,32272.3509,45619.36061,28763.91471,30798.72097,26874.87347,25508.23642,65667.50724,8012.132788,44235.62217,2812.471076,42412.4345,4718.247776,27986.43639,1150.741221,0.045046438,0.673630293,0.0249439,0.659863946,0.001749147,1.580609319,0.04646312,1.548307896,0.003484632,0.426183931,TRUE
AT1G08980,AT1G08980.1,8,5,294.74,0.190739118,1.515359529,WT control,WT cold,amidase 1 | chr1:2884455-2886430 FORWARD LENGTH=425,40887.03586,42978.5548,39386.34655,27521.02684,22790.36764,41312.5759,25014.88847,55161.81305,12505.16417,10998.23886,18887.00855,24003.37161,17046.50174,34053.67392,38527.80603,31004.36501,37693.24101,3469.815255,36069.91126,7585.875329,16598.4458,3002.606061,30158.08667,4635.529893,0.852126075,0.956933134,0.049446378,1.816922322,0.530771169,1.19602784,0.003702832,2.270889785,0.240876002,0.800092692,TRUE
AT3G25660,AT3G25660.1,12,6,377.35,0.325750998,1.339812241,fum2 cold,fum2 control,Amidase family protein | chr3:9339640-9342044 REVERSE LENGTH=537,24476.01574,49018.76016,45182.31258,22611.6743,42659.08566,45432.09941,39531.66701,66533.77371,15011.85625,14072.53311,18638.68647,22846.03059,27951.99418,34072.7243,41580.18597,34706.38968,35322.1907,6855.744287,48539.15645,6118.075354,17642.2766,1994.452056,34577.82353,2786.968916,0.200369096,1.37418307,0.002599621,1.959941129,0.08311705,1.40376552,0.048052708,2.002133369,0.923158736,0.978926359,TRUE
AT3G12290,AT3G12290.1,6,3,272.33,0.613702842,1.181807903,WT cold,fum2 cold,Amino acid dehydrogenase family protein | chr3:3919591-3921326 FORWARD LENGTH=299,54769.09306,55269.74152,45887.29428,49458.03158,91144.46489,88628.48632,87681.02,79663.93148,20442.79715,38953.79604,28531.95064,31992.25522,40213.99331,40387.65603,41022.78614,42263.38124,51346.04011,2244.905464,86779.47567,2481.86292,29980.19976,3847.437151,40971.95418,464.2446166,4.17748E-05,1.69009091,0.029709758,1.366633795,1.80534E-06,2.118021398,0.003011552,1.712665043,0.003994541,0.79795743,TRUE
AT4G00620,AT4G00620.1,11,4,116.17,0.052028295,1.403902421,WT cold,fum2 cold,Amino acid dehydrogenase family protein | chr4:259265-260788 REVERSE LENGTH=360,14718.89097,11636.24563,9773.069997,13773.40935,19491.80671,21449.83778,22484.07693,22149.79832,7514.101691,4262.231359,5449.986602,6434.83076,8937.37535,7799.596153,9416.684234,7828.023424,12475.40399,1107.732199,21393.87994,669.6364652,5915.287603,693.7357536,8495.41979,405.5491478,0.000461418,1.714884741,0.018348515,1.436180345,3.18624E-06,2.518284024,0.002406245,2.109010554,0.014969968,0.680973522,TRUE
AT4G33090,AT4G33090.1,36,17,1150.82,0.697571498,1.141742211,WT cold,WT control,aminopeptidase M1 | chr4:15965915-15970418 REVERSE LENGTH=879,154062.5883,127320.9746,117233.1677,118296.1709,247624.716,214754.2972,199323.0078,196189.4657,64588.21618,75969.29182,74486.43726,74505.67924,140519.1019,90154.49848,103755.6953,97449.70608,129228.2254,8581.833588,214472.8717,11771.87782,72387.40613,2622.821027,107969.7505,11199.97425,0.001099612,1.659644176,0.02129748,1.49155435,0.000603596,1.986416295,0.000724447,1.785230779,0.182619659,0.835496658,TRUE
AT4G36760,AT4G36760.1,13,5,304.76,0.103584894,1.643225397,fum2 control,fum2 cold,aminopeptidase P1 | chr4:17326688-17329979 FORWARD LENGTH=645,64351.2212,47334.65436,37492.76368,49788.72314,84794.78402,89525.98407,69405.44706,80285.99146,48357.01112,33106.06552,26922.98365,29017.31677,34900.01115,31256.54048,26886.46737,31149.15175,49741.84059,5547.301375,81003.05165,4301.513484,34350.84426,4842.019319,31048.04269,1638.3443,0.004313481,1.628469125,0.542105067,0.903850935,3.62553E-05,2.608958396,0.081571186,1.448052927,0.017868116,0.624183631,TRUE
AT2G38280,AT2G38280.1,12,5,128.86,0.533015775,1.493413269,WT control,fum2 cold,"AMP deaminase, putative / myoadenylate deaminase, putative | chr2:16033767-16038793 REVERSE LENGTH=839",41399.89028,50189.94804,61260.16157,49663.66456,68546.81831,66536.64992,73910.02434,75453.50632,2278.467514,28557.70185,33168.25466,28227.22496,22979.84246,30413.08484,26105.28433,29385.25766,50628.41611,4075.564382,71111.74972,2125.080441,23057.91225,7017.679024,27220.86732,1685.864157,0.00429928,1.404581758,0.585049422,1.180543452,3.54419E-06,2.612398381,0.014543314,2.195706861,0.001817172,0.537659864,TRUE
AT1G64400,AT1G64400.1,17,3,131.07,0.002456662,1.427137323,fum2 control,WT control,AMP-dependent synthetase and ligase family protein | chr1:23915802-23919681 REVERSE LENGTH=665,37631.96396,42799.61523,52956.89562,48810.64719,103665.916,81937.14685,86168.59337,97783.04972,31712.2043,34619.30981,41767.00969,35011.81265,48188.24438,40561.60427,51313.86941,43020.20256,45549.7805,3363.453504,92388.6765,5034.872559,35777.58411,2127.763636,45770.98016,2437.060423,0.000245061,2.028301245,0.021416845,1.279320035,0.000162041,2.018498974,0.049431,1.273137402,0.95925729,1.004856218,TRUE
AT2G04350,AT2G04350.1,19,10,385.42,0.035975374,1.268155053,WT cold,WT control,AMP-dependent synthetase and ligase family protein | chr2:1516086-1519178 FORWARD LENGTH=720,39627.73321,62152.3932,46470.05916,45702.64612,98017.61892,88761.48872,83360.5543,84475.4,22275.44984,28387.4661,27956.91284,27648.7893,44988.3352,50718.71056,49588.83575,51465.80595,48488.20792,4804.947541,88653.76549,3331.29327,26567.15452,1438.564832,49190.42186,1452.85079,0.000468859,1.828357229,3.24342E-05,1.85155026,3.6146E-05,1.802256662,0.004716428,1.825118602,0.89332538,1.014482159,TRUE
AT3G48990,AT3G48990.1,15,11,383.33,0.007577943,1.44385018,fum2 cold,fum2 control,AMP-dependent synthetase and ligase family protein | chr3:18159031-18161294 REVERSE LENGTH=514,208847.8989,184852.2138,163121.4036,174804.6767,258625.4689,303973.0459,342342.5154,388793.4198,72781.22709,80201.40858,106344.7434,97551.67113,198199.1518,190644.3932,174062.7947,184758.421,182906.5483,9720.389046,323433.6125,27701.17348,89219.76255,7714.930473,186916.1902,5091.418153,0.003041526,1.768299799,4.22058E-05,2.095008828,0.002860277,1.730367028,0.00028028,2.050067642,0.727343385,1.021921806,TRUE
AT4G23850,AT4G23850.1,27,14,507.67,0.292591336,4.915649531,fum2 control,fum2 cold,AMP-dependent synthetase and ligase family protein | chr4:12403720-12408263 REVERSE LENGTH=666,89980.19544,187319.0937,81986.4026,93161.3485,197238.9666,183393.5351,171633.6133,193241.6143,842001.6208,50246.096,69385.04551,102002.5402,72177.35946,96762.35275,75476.78862,78355.15564,113111.7601,24847.20717,186376.9323,5710.908887,265908.8256,192327.8859,80692.91412,5503.140081,0.028289804,1.64772374,0.372909097,0.303460834,1.10479E-05,2.309706303,0.460732433,0.425377984,0.249831259,0.713391022,TRUE
AT4G05160,AT4G05160.1,13,8,271.5,0.261524641,1.345757431,fum2 cold,WT cold,AMP-dependent synthetase and ligase family protein | chr4:2664451-2666547 FORWARD LENGTH=544,25602.9454,28321.21016,17850.65984,19390.92325,35749.34532,37189.57608,16687.40194,24742.72638,16992.9556,10551.94589,15602.09739,16482.14444,25856.85126,18793.5501,22862.86707,19279.42217,22791.43467,2490.945995,28592.26243,4844.948129,14907.28583,1479.919681,21698.17265,1656.761572,0.327926842,1.254517886,0.02231337,1.455541464,0.226808043,1.317726746,0.034592035,1.528878894,0.727317316,0.952031891,TRUE
AT1G04780,AT1G04780.1,17,3,74.33,0.375114441,1.153744394,WT cold,fum2 cold,Ankyrin repeat family protein | chr1:1340891-1342965 REVERSE LENGTH=664,19559.33426,20434.66044,17843.90126,22693.15715,28567.79601,31661.36953,33340.83785,34499.09842,8806.37779,9950.033743,13065.53456,12795.0097,14595.26209,16373.72405,14607.98096,16077.88598,20132.76328,1008.896627,32017.27545,1288.95436,11154.23895,1053.080472,15413.71327,472.7413831,0.000347068,1.590307054,0.010208518,1.381870457,1.94131E-05,2.077194177,0.000842256,1.8049428,0.00546675,0.765603462,TRUE
AT2G26210,AT2G26210.2,4,3,38.43,0.262257138,1.394108955,fum2 control,fum2 cold,Ankyrin repeat family protein | chr2:11157723-11159016 FORWARD LENGTH=167,16658.20293,9592.893183,13880.87852,15793.49934,19345.08335,18513.23766,16564.72374,22633.59958,10968.67534,6831.642095,7245.301378,5939.062823,9774.667619,8129.683284,7080.833658,7710.211405,13981.36849,1573.691907,19264.16108,1265.257291,7746.170408,1108.204541,8173.848992,575.4862595,0.039787716,1.377845172,0.743658782,1.055211616,0.000206493,2.356804132,0.017697958,1.804939442,0.013370561,0.584624387,TRUE
AT5G20350,AT5G20350.1,8,5,149.38,0.045754886,1.769295208,WT cold,fum2 control,Ankyrin repeat family protein with DHHC zinc finger domain | chr5:6876772-6881102 FORWARD LENGTH=620,2645.418378,3107.061608,4295.852315,3274.699658,4648.375935,9082.393401,6375.067168,4591.788654,717.5334275,1361.844655,1935.399025,1349.217117,2441.134708,2516.12332,2935.50426,2922.336235,3330.75799,348.123547,6174.406289,1053.964779,1340.998556,248.7506764,2703.774631,130.913629,0.042798119,1.853754103,0.002857246,2.016239778,0.01708081,2.283624611,0.003502032,2.483789393,0.142815517,0.811759557,TRUE
AT2G17390,AT2G17390.1,15,8,417.3,0.034875425,1.495324843,WT control,WT cold,ankyrin repeat-containing 2B | chr2:7555870-7557743 FORWARD LENGTH=344,40317.36746,44550.37772,54624.94485,39478.43933,27274.15389,51942.10147,44619.65474,49811.37646,17738.54375,17206.39998,23809.97286,28988.82598,32624.47717,25960.26638,30830.19949,30184.62796,44742.78234,3476.01016,43411.82164,5594.663805,21935.93564,2787.500132,29899.89275,1410.985501,0.846537866,0.970253064,0.043545444,1.363055273,0.057700362,1.451905597,0.002181146,2.03970248,0.007481236,0.668261811,TRUE
AT4G35450,AT4G35450.1;AT4G35450.4,21,12,948.84,0.269497456,1.393600065,fum2 control,WT cold,ankyrin repeat-containing protein 2 | chr4:16839862-16841759 FORWARD LENGTH=342,249856.8695,409032.8329,413401.1558,307818.1798,433704.2197,548168.3281,404496.6371,412829.0986,228183.353,229878.9181,169374.3885,314575.3858,283738.237,253878.9553,301844.8155,282537.511,345027.2595,40014.18694,449799.5709,33359.96148,235503.0114,29875.63525,280499.8797,9911.772468,0.091012104,1.303663866,0.202791136,1.191067061,0.002809277,1.60356422,0.070756682,1.465065171,0.168549026,0.812978894,FALSE
AT1G35720,AT1G35720.1,26,16,1436.27,0.279613669,1.37890311,fum2 cold,fum2 control,annexin 1 | chr1:13225304-13226939 FORWARD LENGTH=317,865982.2549,389788.6399,466743.0702,608768.3509,944921.3981,991684.298,1079000.358,847484.8193,288545.0237,324099.8999,232674.7068,242667.1077,687690.1512,504182.0881,540225.7523,509852.7241,582820.579,104717.5324,965772.7184,48234.42149,271996.6845,21203.44821,560487.6789,43132.77257,0.015973047,1.657066949,0.000962522,2.060641584,0.00076897,1.723093575,0.027009443,2.142748835,0.850185356,0.961681346,TRUE
AT5G65020,AT5G65020.1;AT5G65020.2,5,4,108.66,0.018749456,2.071109685,fum2 control,WT cold,annexin 2 | chr5:25973915-25975554 FORWARD LENGTH=317,4137.660921,8776.241588,12644.80442,9828.39321,8380.568795,9663.31159,10456.4747,9020.497967,7487.15907,6497.479976,7337.207839,8106.876711,8993.684661,5626.006348,12366.74826,6159.381347,8846.775034,1769.400373,9380.213263,444.144074,7357.180899,331.4642685,8286.455153,1547.885552,0.779822474,1.060297479,0.578579769,1.126308469,0.522330493,1.131993487,0.439633808,1.202468059,0.819546609,0.936663939,FALSE
AT2G38750,AT2G38750.1,8,3,160.34,0.00059366,2.481525201,fum2 cold,WT control,annexin 4 | chr2:16196582-16198431 REVERSE LENGTH=319,13286.09801,13984.51816,12280.07534,12543.22507,33041.31052,31669.05667,30124.97908,30603.68701,11325.63097,14895.44283,9476.476966,11142.06506,32418.1428,24954.94282,20980.46262,25720.04215,13023.47915,384.6922845,31359.75832,646.7616041,11709.90396,1140.393236,26018.3976,2372.717843,3.14113E-07,2.407940149,0.001609553,2.221913834,0.072869257,1.205291687,0.316958599,1.112176427,0.001654156,1.997806984,TRUE
AT1G70570,AT1G70570.1,12,3,146,0.091415722,1.667403184,WT control,fum2 cold,"anthranilate phosphoribosyltransferase, putative | chr1:26608719-26612062 FORWARD LENGTH=595",1223091.376,1019851.534,828400.4431,1192786.162,1143418.447,1196318.092,1155970.815,1168846.987,807737.3258,483384.487,373317.1082,409149.0539,512186.3096,514369.3152,482421.5725,574406.4949,1066032.379,90983.35804,1166138.585,11320.06446,518396.9937,99132.48246,520845.923,19283.19848,0.316789816,1.093905409,0.981440276,1.004724042,1.1467E-07,2.238931964,0.006576161,2.056401545,0.001089455,0.488583587,FALSE
AT5G05730,AT5G05730.1,10,4,146.05,0.037511282,1.748398658,WT cold,WT control,anthranilate synthase alpha subunit 1 | chr5:1719740-1722811 REVERSE LENGTH=595,6931.634665,14182.67056,14235.74831,11831.2324,28038.95939,30673.96863,24861.41859,34470.20844,17018.57358,10301.51551,8917.845692,7829.857254,12393.73834,10968.43159,13693.86516,13174.47454,11795.32148,1715.416805,29511.13876,2035.758566,11016.94801,2063.474641,12557.62741,593.2916361,0.000556461,2.501935941,0.499992101,1.139846299,0.000204137,2.350056886,0.781525896,1.070652369,0.68912681,1.064627821,TRUE
AT2G34040,AT2G34040.1,15,4,350.4,0.9334181,1.176718052,fum2 control,fum2 cold,Apoptosis inhibitory protein 5 (API5) | chr2:14377957-14382246 REVERSE LENGTH=553,61873.19764,89904.67644,34811.96506,49257.14877,107324.7009,36528.11493,159792.0515,35838.80964,44209.61461,35045.8703,29949.678,22456.27656,33755.08273,36328.53482,40344.58658,57021.72276,58961.74698,11702.32392,84870.91925,30081.17196,32915.35987,4566.973448,41862.48172,5231.802439,0.452758849,1.439423416,0.245076974,1.271822088,0.208606547,2.027374292,0.083488946,1.791314062,0.230621247,0.709993918,FALSE
AT4G38550,AT4G38550.1,14,5,104.55,0.000110727,4.822969275,WT cold,fum2 cold,Arabidopsis phospholipase-like protein (PEARLI 4) family | chr4:18025886-18028546 FORWARD LENGTH=612,28833.37083,23166.56108,24093.559,63771.36988,89713.09089,52868.92639,74531.9616,49833.27939,14016.28428,7076.156196,12795.9552,9139.295331,6997.398391,7125.946546,9949.852854,7103.361141,34966.2152,9681.577034,66736.81457,9428.332367,10756.92275,1605.870787,7794.139733,719.1171105,0.056984294,1.908608472,0.143196309,0.724569648,0.000788673,8.562434964,0.048665257,3.250577884,0.031210586,0.222904872,FALSE
AT5G55240,AT5G55240.1,6,4,52.5,0.317164208,1.416361587,fum2 cold,WT cold,ARABIDOPSIS THALIANA PEROXYGENASE 2 | chr5:22405963-22407158 FORWARD LENGTH=243,202361.4629,222106.4003,246852.0267,208781.0116,376801.5133,204490.8523,295308.2325,195671.3005,173543.1003,81678.42064,72125.56176,115443.4317,254666.7826,189419.5107,180502.1685,222308.7315,220025.2254,9842.295678,268067.9746,42669.60567,110697.6286,22916.50557,211724.2983,16902.69239,0.31465838,1.218351097,0.01210395,1.91263626,0.265552455,1.266118139,0.004650521,1.987623657,0.686073855,0.962272839,TRUE
AT4G16130,AT4G16130.1,13,6,139.52,0.438944998,1.236870666,WT cold,WT control,arabinose kinase | chr4:9120875-9127656 FORWARD LENGTH=1039,20563.72886,24292.24772,45007.89135,22270.94953,38853.10508,44274.08309,42259.78781,72802.62466,19982.26581,17147.9217,23193.39388,14912.59888,20885.07738,24162.62441,25513.37571,24040.59582,28033.70436,5709.140325,49547.40016,7832.041988,18809.04507,1792.125952,23650.41833,980.3194333,0.068222909,1.767422511,0.055516775,1.257396016,0.016802803,2.094990434,0.174106707,1.490437407,0.47788438,0.843642282,FALSE
AT5G54310,AT5G54310.1,8,3,109.47,0.219781917,1.864690698,fum2 cold,WT control,ARF-GAP domain 5 | chr5:22057262-22061066 REVERSE LENGTH=483,3617.969347,8316.630996,12146.07355,5581.151869,13991.35956,10941.50756,10367.01167,8513.097353,822.111958,4527.597776,5643.323159,6696.386778,9667.314039,9856.302506,12485.41608,11935.54952,7415.456441,1847.891486,10953.24404,1137.55102,4422.354918,1279.153684,10986.14554,716.7659939,0.154150044,1.477082918,0.004208183,2.484229724,0.981270831,0.997005183,0.231286461,1.676811694,0.121694592,1.481519799,TRUE
AT2G37550,AT2G37550.1,8,3,101.29,0.127793968,17.77891504,WT cold,fum2 cold,ARF-GAP domain 7 | chr2:15755544-15757456 REVERSE LENGTH=456,2391.236261,4387.230009,8227.872231,10501.24099,20635.19408,398398.0227,13384.01362,9869.622104,3587.902315,474.6112426,7539.891633,1822.999491,5060.918094,1786.377965,3248.108091,3845.66527,6376.894874,1832.134205,110571.7131,95968.27689,3356.35117,1533.275881,3485.267355,680.3817303,0.319366876,17.33942856,0.941239713,1.038409623,0.307181701,31.72546088,0.253008551,1.89994865,0.189481679,0.546546152,FALSE
AT4G17890,AT4G17890.1,7,3,112.33,0.329843322,2.017724204,fum2 cold,fum2 control,ARF-GAP domain 8 | chr4:9937121-9939146 FORWARD LENGTH=413,4215.704443,6026.879069,7316.164771,7349.996044,15457.37338,11285.89635,11971.77236,3004.175329,3051.75498,2465.619586,3481.886663,4469.752305,19387.45283,6339.947827,6282.620454,6880.930176,6227.186082,737.8323024,10429.80435,2638.291359,3367.253383,422.4065388,9722.737821,3224.389639,0.175908769,1.674882397,0.098461067,2.887438727,0.870812104,1.072722987,0.015156833,1.849336944,0.331291838,1.561337287,FALSE
AT5G46750,AT5G46750.1,7,4,179.11,0.003902698,1.479336136,fum2 control,WT control,ARF-GAP domain 9 | chr5:18969950-18971817 REVERSE LENGTH=402,22891.53932,29079.0823,32902.19096,26939.59815,42931.40623,48818.85777,48597.16196,51565.39669,24567.67372,22203.2998,20657.87397,22377.0063,26384.14648,22678.21378,23019.63781,21048.41332,27953.10268,2089.814984,47978.20566,1812.639117,22451.46345,804.2821948,23282.60285,1119.732575,0.000352847,1.716382121,0.56866921,1.037019386,2.48178E-05,2.06068909,0.049325046,1.245045907,0.096359061,0.832916586,TRUE
AT4G08870,AT4G08870.1;AT4G08870.2,12,4,527.83,0.081785595,2.233545459,fum2 control,WT cold,Arginase/deacetylase superfamily protein | chr4:5646654-5648693 REVERSE LENGTH=344,60053.2772,29188.10241,29971.59781,15918.97955,18187.85501,20681.67741,17313.79013,35080.98201,20925.51443,13827.28301,20641.4832,22934.98506,40787.53883,13872.17001,13547.71012,18372.48958,33782.98924,9331.356464,22816.07614,4150.091927,19582.31642,1985.086306,21644.97713,6475.139037,0.324163037,0.675371737,0.770988516,1.105332825,0.883965493,1.054104885,0.187186131,1.725178396,0.326309465,0.640706392,FALSE
AT2G37500,AT2G37500.1,6,3,112.63,0.02054612,1.588522074,fum2 control,WT cold,arginine biosynthesis protein ArgJ family | chr2:15739904-15742689 REVERSE LENGTH=468,22533.2255,36360.70809,38049.69388,32491.82481,36630.85408,31003.34854,31506.61502,38615.45448,14865.20659,20792.25607,19835.58093,27613.99659,18520.01588,20465.21264,23046.13562,21820.88737,32358.86307,3475.643243,34439.06803,1885.240457,20776.76004,2623.298275,20963.06288,970.0252755,0.617689548,1.064285477,0.949055901,1.008966886,0.000711239,1.642845238,0.037534426,1.557454724,0.019612921,0.647830637,FALSE
AT4G24830,AT4G24830.1;AT4G24830.2,19,10,464.85,0.052312032,1.566023437,WT control,WT cold,arginosuccinate synthase family | chr4:12793085-12795857 REVERSE LENGTH=494,58445.28431,82459.47031,66670.68539,59144.72081,57036.87781,75622.60283,48438.32695,64477.37546,41571.5953,24714.54754,30605.40852,46265.12509,32985.66676,48876.48102,63118.70767,60893.28058,66680.0402,5579.596348,61393.79576,5764.794882,35789.16911,4938.798126,51468.53401,6909.459183,0.534410751,0.920722237,0.114401338,1.43810363,0.312295872,1.192841353,0.00604045,1.863134626,0.137584106,0.77187317,FALSE
AT1G66530,AT1G66530.1,14,3,127.54,0.577970054,1.488957916,fum2 cold,fum2 control,"Arginyl-tRNA synthetase, class Ic | chr1:24819064-24822277 REVERSE LENGTH=590",15617.33942,23062.65406,25802.61624,32865.34064,36669.28022,27614.11081,38157.68901,31222.17286,6691.036068,5281.143714,16150.84261,13100.57464,41821.24434,11751.92965,16588.22476,15155.42794,24336.98759,3565.308112,33415.81322,2441.690712,10305.89926,2586.648048,21329.20667,6905.555108,0.08037006,1.373046401,0.185573919,2.069611407,0.150003223,1.566669297,0.018945717,2.361461817,0.712095488,0.876411125,FALSE
AT4G26300,AT4G26300.1,21,7,394.3,0.375941003,1.287952531,fum2 control,WT cold,"Arginyl-tRNA synthetase, class Ic | chr4:13308400-13313109 REVERSE LENGTH=642",39159.55678,30350.87528,27520.07458,18652.16498,35063.43732,37403.60746,32564.55384,48373.24905,19199.01785,16289.6244,17048.5551,22475.95504,35798.25737,22993.35695,28709.5221,22290.87761,28920.6679,4225.755875,38351.21192,3483.700811,18753.2881,1385.420441,27448.00351,3132.597327,0.135854228,1.326083203,0.044176492,1.463636849,0.058861604,1.397231384,0.062258249,1.54216518,0.788908729,0.949079171,TRUE
AT1G23180,AT1G23180.1,14,4,184.93,0.478017858,1.432825664,WT cold,fum2 control,ARM repeat superfamily protein | chr1:8216125-8219515 FORWARD LENGTH=834,3008.115333,7380.134711,5008.335038,5398.492777,12205.01924,6515.578201,8287.441414,14013.9976,2612.079771,945.3683609,4375.849842,3550.028841,4300.217805,4567.613967,5241.843443,4396.679465,5198.769465,895.9852367,10255.50911,1726.924027,2870.831704,736.0225311,4626.58867,212.4053976,0.040707681,1.972680109,0.061779731,1.611584777,0.017795446,2.216645966,0.091451825,1.810893149,0.557202681,0.889939187,TRUE
AT2G26780,AT2G26780.1,23,7,205.8,0.31768637,1.449123775,WT cold,fum2 cold,ARM repeat superfamily protein | chr2:11410125-11423598 FORWARD LENGTH=1826,7535.573637,9227.764494,9886.637628,9242.782509,13994.24801,15313.31575,13795.53397,17175.62429,3571.729771,2484.16528,7007.536069,4534.988026,1620.960966,4638.747939,10721.24547,6838.783673,8973.189567,503.2076834,15069.6805,778.5864213,4399.604786,964.9663094,5954.934513,1915.171518,0.000593031,1.679411807,0.495598342,1.353515782,0.004525067,2.530620693,0.005669837,2.03954446,0.17828813,0.663636321,TRUE
AT2G01690,AT2G01690.1,11,3,137.71,0.938325498,1.159163362,WT control,fum2 cold,ARM repeat superfamily protein | chr2:309144-313499 REVERSE LENGTH=743,5672.202015,4603.841291,3026.166538,3262.085174,3358.334786,7639.164978,5108.45806,5675.235151,1429.061068,2614.700137,1889.54031,3154.171728,2763.381458,3137.1797,3128.154878,2662.655322,4141.073755,617.3968584,5445.298244,881.986395,2271.868311,382.1530813,2922.842839,122.8884315,0.271275205,1.314948384,0.156003673,1.286537087,0.029855312,1.863014381,0.042090158,1.822761352,0.101111052,0.705817624,FALSE
AT2G13540,AT2G13540.1,15,4,218.47,0.335205429,1.649040214,WT cold,fum2 cold,ARM repeat superfamily protein | chr2:5637053-5642813 FORWARD LENGTH=848,55908.44252,49270.85436,35823.58675,100828.9414,110743.0205,93760.84601,63240.37543,106379.1653,9687.59497,33042.06486,27762.21667,30569.07638,33058.93158,34980.64414,27933.64797,31022.76941,60457.95626,14090.53443,93530.85181,10719.54511,25265.23822,5303.360589,31748.99827,1506.756078,0.110979516,1.547039589,0.284126051,1.256627703,0.001251808,2.945946546,0.058039798,2.392930386,0.08916698,0.525141772,FALSE
